,城市,数量
0,太原,2
1,南京,12
2,北京,131
5,重庆,8
7,广州,17
8,西安,10
9,上海,53
10,昆明,2
11,杭州,12
12,周口,1
13,呼伦贝尔,1
14,郑州,3
15,成都,12
17,南通,1
18,深圳,9
19,苏州,2
21,青岛,5
22,保定,1
23,洛阳,1
25,南宁,1
27,武汉,12
30,泉州,4
31,厦门,4
32,宁波,3
33,长沙,3
34,合肥,2
37,福州,1
39,佛山,1
41,沈阳,1
42,梅州,1
45,台州,1
47,南昌,2
51,黄石,1
52,香港,6
54,长治,1
55,珠海,1
57,淮安,1
64,常德,1
70,乐山,1
72,桂林,1
75,台南,1
76,漳州,1
77,天津,3
78,吉林,1
81,绍兴,1
83,石家庄,1
86,无锡,1
87,徐州,1
89,聊城,1
91,中山,1
93,镇江,1
96,湖州,1
97,伊春,1
98,迪庆,1
99,宜宾,1
100,威海,1
101,郴州,1
104,连云港,1
105,常州,1
106,大连,2
107,台南,1
109,苏州,1
111,上饶,1
112,哈尔滨,2
113,澳门,1
114,宣城,1
115,东莞,1
