times,scores
2019-04-24,41.04477611940298
2019-04-25,38.297872340425535
2019-04-26,35.925925925925924
2019-04-27,38.1578947368421
2019-04-28,36.42857142857143
2019-04-29,35.0
2019-04-30,30.0
2019-05-01,35.0
2019-05-02,43.333333333333336
2019-05-03,40.0
2019-05-04,40.0
2019-05-05,33.333333333333336
2019-05-06,
2019-05-07,40.0
2019-05-08,
2019-05-09,43.333333333333336
2019-05-10,
2019-05-11,
2019-05-12,
2019-05-13,20.0
2019-05-14,
2019-05-15,
2019-05-16,
2019-05-17,
2019-05-18,
2019-05-19,
2019-05-20,
2019-05-21,
2019-05-22,
2019-05-23,50.0
